symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
NXU,Industrials,Electrical Equipment & Parts,9/28/22,-0.691995574,-0.548236859,-0.809713907,-0.820825018,-0.958882238,-0.997338656,0.016652408,-0.021092902,0.023846193,0.028046211,0.129012816,0.164764179
ASTI,Technology,Solar,8/24/22,-0.0905,-0.120395822,-0.2842221,-0.413963716,-0.844969764,-0.993293018,0.004526601,0.014686999,-0.036884005,-0.109275219,-0.075100977,0.061449967
EJH,Consumer Cyclical,Personal Services,5/14/21,1.95728368,-0.237037037,-0.448703704,-0.258333333,-0.948518519,-0.992407407,0.009117945,-0.002702596,-0.002783239,0.022868666,0.054277549,-0.07888994
AKAN,Healthcare,Drug Manufacturers—Specialty & Generic,3/15/22,-0.65,0.048571414,-0.199047634,-0.1314286,-0.907523809,-0.988857143,0.015799916,0.024343727,0.049902722,0.044935472,-0.067917314,-0.078457293
IZEA,Communication Services,Internet Content & Information,2/9/12,0,0,0.045751621,-0.101307201,-0.844771244,-0.985498366,-0.000372239,-0.008316992,-0.007572475,0.012661531,0.002011179,0.144426892
IZM,Technology,Electronics & Computer Distribution,3/15/23,-0.172500014,-0.027190307,-0.003021145,-0.317220535,0.99395771,-0.985498366,0.006963108,0.016863715,0.027704744,0.059479388,0.175452993,0.144426892
MEGL,Financial Services,Capital Markets,8/5/22,0.94,0.206185567,-0.88762887,-0.946391755,-0.979999999,-0.985257732,0.01142974,0.000542025,0.017180189,-0.057587205,-0.028840128,0.097677817
TBMCR,----,----,3/29/23,-0.002958647,-0.00197819,-0.000989048,0.000791333,-0.983679524,-0.985000001,0.004483129,0.005026494,0.016509251,0.031111942,0.120937578,0.123475373
TBLTW,----,----,12/3/18,-0.399999976,0,-0.1666667,-0.648333355,-0.73333335,-0.985000001,-0.003330123,-0.032440443,-0.05570763,-0.093585036,0.049232391,0.123475373
TBMC,Financial Services,Shell Companies,5/15/23,-0.004926033,0.000990027,0.001980149,0.006930663,0.023762353,-0.985000001,0.002330324,-0.007904644,0.012765778,0.059681766,0.048959063,0.123475373
FRLAW,----,----,12/27/21,0,-0.111111074,-0.133333342,-0.360000011,-0.377777759,-0.982222221,0.010535746,-0.001504642,-0.005768169,-0.099745574,-0.140158139,-0.197199423
SHPH,Healthcare,Drug Manufacturers—Specialty & Generic,8/31/22,0.600000032,0.361746418,-0.054054003,-0.88071725,-0.953222454,-0.98076923,-0.011263597,0.000698358,0.004757419,-0.092178894,-0.006347979,0.1453068
EDBL,Consumer Defensive,Farm Products,5/5/22,-0.036666701,-0.020761194,-0.25951558,-0.394463647,-0.671972301,-0.979584775,-0.025970874,-0.007940436,-0.057631216,-0.005098567,-0.040195734,0.002898665
EDBLW,----,----,9/29/23,-0.036666701,-0.020761194,-0.25951558,-0.394463647,-0.671972301,-0.979584775,-0.025970874,-0.007940436,-0.057631216,-0.005098567,-0.040195734,0.002898665
BWV,Healthcare,Biotechnology,2/18/22,0.148000031,-0.007491294,-0.227351963,-0.190418119,-0.962891985,-0.97944251,-0.007895335,-0.01104648,0.009145929,0.037732013,-0.134426087,-0.069881894
VRAX,Healthcare,Biotechnology,7/21/22,-0.089999962,-0.431868147,0.026923063,-0.69560441,-0.925824178,-0.977857144,0.010550756,-0.010353831,0.004462155,0.058744583,-0.004720622,0.145484992
